Paper_ID	Year	Domain	System_specific	Phylum	Class	Order	Family	Genus 	species	Ecological_Classification	Control	Control_identity	Congeneric_control	Response_variable	Response_Group	Predictor_variable	Predictor_Group	Statistical_method	Test_statistic	Value	df	N	Direction_of_effect	P-value	Pearson_r_conversion	Notes	Compiler
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Springs on the slope of the valley)	Habitat availability	GLM	z	-3,6950	NA	1485	-	<0,001	-0,096	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Yield < 2)	Habitat availability	GLM	z	-8,8960	NA	1485	-	<0,001	-0,231	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Yield 2.1 – 5)	Habitat availability	GLM	z	0,7170	NA	1485	-	0,473	0,019	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Yield 5.1 – 10)	Habitat availability	GLM	z	-1,5300	NA	1485	-	0,126	-0,040	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Yield 10.1 – 20)	Habitat availability	GLM	z	-1,2770	NA	1485	-	0,201	-0,033	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Yield 20.1 – 50)	Habitat availability	GLM	z	-2,9080	NA	1485	-	0,004	-0,075	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Yield > 50)	Habitat availability	GLM	z	-1,5580	NA	1485	-	0,119	-0,040	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Cretaceous)	Habitat availability	GLM	z	-6,6070	NA	1485	-	<0,001	-0,171	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Tertriary)	Habitat availability	GLM	z	-0,9540	NA	1485	-	0,34	-0,025	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Quaternary/Cretaceous)	Habitat availability	GLM	z	-1,2610	NA	1485	-	0,207	-0,033	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Quaternary/Tertriary)	Habitat availability	GLM	z	-1,0950	NA	1485	-	0,273	-0,028	Sample size not entirely clear – inferred	Stefano Mammola
Test_00006	1995-1996 ; 2020-2021	Aquatic	Springs	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	NA	yes	Spring reported in 1995-1996	Not applicable	Climate Change generic	Climate Change 	Number of available springs (Quaternary)	Habitat availability	GLM	z	-4,1160	NA	1485	-	<0,001	-0,107	Sample size not entirely clear – inferred	Stefano Mammola
Test_00008	1970-2000 ; 2050	Aquatic	Subterranean Rivers ; Caves	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus	Troglophile/Stygophile	yes	Present distribution	Not applicable	Climate Change (temperature + precipitation variables)	Climate Change 	Elevation range 2050 (future vs present) rcp 26	Habitat shift	T-test	t	43,2950	NA	4342	+	<0,001	0,549	emailed authors; recalculated from Wilcoxon to t-test	Stefano Mammola
Test_00008	1970-2000 ; 2050	Aquatic	Subterranean Rivers ; Caves	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus	Troglophile/Stygophile	yes	Present distribution	Not applicable	Climate Change (temperature + precipitation variables)	Climate Change 	Elevation range 2050 (future vs present) rcp 85	Habitat shift	T-test	t	56,0380	NA	4348	+	<0,001	0,648	emailed authors; recalculated from Wilcoxon to t-test	Stefano Mammola
Test_00008	1970-2000 ; 2070	Aquatic	Subterranean Rivers ; Caves	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus	Troglophile/Stygophile	yes	Present distribution	Not applicable	Climate Change (temperature + precipitation variables)	Climate Change 	Elevation range 2070 (future vs present) rcp 26	Habitat shift	T-test	t	41,8290	NA	4169	+	<0,001	0,544	emailed authors; recalculated from Wilcoxon to t-test	Stefano Mammola
Test_00008	1970-2000 ; 2070	Aquatic	Subterranean Rivers ; Caves	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus	Troglophile/Stygophile	yes	Present distribution	Not applicable	Climate Change (temperature + precipitation variables)	Climate Change 	Elevation range 2070 (future vs present) rcp 85	Habitat shift	T-test	t	61,7690	NA	3774	+	<0,001	0,709	emailed authors; recalculated from Wilcoxon to t-test	Stefano Mammola
Test_00009	2018-2019	Terrestrial	Cave	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	lucifugus	Troglophile/Stygophile	yes	Different controls sites	Not applicable	Cold + Dry vs Cold + Wet	RH	Pathogen load (WNS)	Pathogen risk	GLMM	z	3,0000	NA	81	-	<0,001	-0,333	Sign flipped (lower relative humidity reduces pathogen load)	Stefano Mammola
Test_00009	2018-2019	Terrestrial	Cave	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	lucifugus	Troglophile/Stygophile	yes	Different controls sites	Not applicable	Temperature increase	Temperature	Pathogen load (WNS)	Pathogen risk	GLMM	z	4,1667	NA	65	+	<0,001	0,517	Table S2	Stefano Mammola
Test_00009	2018-2019	Terrestrial	Cave	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	lucifugus	Troglophile/Stygophile	yes	Different controls sites	Not applicable	Water Vapor deficit	RH	Pathogen load (WNS)	Pathogen risk	GLMM	z	-2,3918	NA	65	-	0,020	-0,297	Table S2	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 2°C 12 hours	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	-	>0,05	-0,810	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 6°C 12 hoours	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	<0,05	0,660	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 2°C 1 month	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	>0,05	0,570	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 6°C 1 month	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	<0,05	0,770	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 2°C 2 months	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	>0,05	0,570	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 6°C 2 months	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	<0,05	0,920	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 2°C 6 months	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	>0,05	0,230	Mean and SD derived from Figure 4	Stefano Mammola
CC_0003	2009	Aquatic	Cave	Arthopoda	Malacrostacea	Amphipoda	Niphargidae	Niphargus	rhenorhodanensis	Troglobiont/Stygobiont	yes	Individuals kept at 10 °C	yes	Temperature increase + 6°C 6 months	Temperature	Heat Shock Protein expression	Gene expression	Mean difference	Mean +/- SD	NA	NA	12	+	<0,05	0,810	Mean and SD derived from Figure 4	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Malacrostacea	Isopoda	Multiple	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Abundance	Rifugium effect	GLMM	z	4,4300	NA	208	+	<0,001	0,307	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Coleoptera	Carabidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Abundance	Rifugium effect	GLMM	z	4,8900	NA	208	+	<0,001	0,339	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Coleoptera	Staphylinidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Abundance	Rifugium effect	GLMM	z	9,2400	NA	208	+	<0,001	0,641	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Arachnida	Araneae	Multiple	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Abundance	Rifugium effect	GLMM	z	-2,1700	NA	208	-	<0,001	-0,150	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Hymenoptera	Formicidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Abundance	Rifugium effect	GLMM	z	-5,6600	NA	208	-	<0,05	-0,392	The authors possibly inverted the stat	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Malacrostacea	Isopoda	Multiple	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Moister-specialist species)	Rifugium effect	LMM	t	19,6300	NA	208	+	<0,001	0,807	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Coleoptera	Carabidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Moister-specialist species)	Rifugium effect	LMM	t	7,6700	NA	208	+	<0,001	0,471	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Coleoptera	Staphylinidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Moister-specialist species)	Rifugium effect	LMM	t	4,5200	NA	208	+	<0,001	0,300	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Arachnida	Araneae	Multiple	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Moister-specialist species)	Rifugium effect	LMM	t	10,8600	NA	208	+	<0,001	0,603	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Hymenoptera	Formicidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Moister-specialist species)	Rifugium effect	LMM	t	9,1500	NA	208	+	<0,001	0,538	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Malacrostacea	Isopoda	Multiple	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Dispersal ability)	Rifugium effect	LMM	t	-9,5000	NA	208	-	<0,001	-0,552	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Coleoptera	Carabidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Dispersal ability)	Rifugium effect	LMM	t	3,3600	NA	208	+	<0,001	0,228	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Hexapoda	Coleoptera	Staphylinidae	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Dispersal ability)	Rifugium effect	LMM	t	6,2300	NA	208	+	<0,001	0,398	-	Stefano Mammola
Alert_00001	2019-2020	Terrestrial	Doline	Arthopoda	Arachnida	Araneae	Multiple	Multiple	Multiple	External	yes	Surface habitat	Not applicable	Climate Change generic	Climate Change 	Trait (Dispersal ability)	Rifugium effect	LMM	t	5,2600	NA	208	+	<0,001	0,344	-	Stefano Mammola
Alert_00003	2019-2020	Terrestrial	Cave ; Crevices	Chordata	Mammalia	Chiroptera	Multiple	Multiple	Multiple	Troglophile/Stygophile	yes	Same species inhabiting hot roosts (e.g. under roofs) rather than caves	yes	Maximum body temperature	Temperature	Inhabiting cold versus hot roost	Heat wave sensivity	LMM	t	14,1000	50	52	+	<0,001	0,894	Sign flipped	Stefano Mammola
Alert_00003	2019-2020	Terrestrial	Cave ; Crevices	Chordata	Mammalia	Chiroptera	Multiple	Multiple	Multiple	Troglophile/Stygophile	yes	Same species inhabiting hot roosts (e.g. under roofs) rather than caves	yes	Maximum subcutaneous temperature	Temperature	Inhabiting cold versus hot roost	Heat wave sensivity	LMM	t	5,0000	3,89	52	+	<0,01	0,577	Sign flipped	Stefano Mammola
Alert_00003	2019-2020	Terrestrial	Cave ; Crevices	Chordata	Mammalia	Chiroptera	Multiple	Multiple	Multiple	Troglophile/Stygophile	yes	Same species inhabiting hot roosts (e.g. under roofs) rather than caves	yes	Maximum fractional increase in EWL (evaporative scope) or maximum EHL/MHP	RH	Inhabiting cold versus hot roost	Drought sensivity	LMM	t	3,77	3,77	52	+	<0,01	0,470	-	Stefano Mammola
Alert_00003	2019-2020	Terrestrial	Cave ; Crevices	Chordata	Mammalia	Chiroptera	Multiple	Multiple	Multiple	Troglophile/Stygophile	yes	Inhabiting hot roosts (e.g. under roofs) rather than caves	no	Maximum body temperature	Temperature	Tair	Heat wave sensivity	PGLS	r2	0,3300	NA	13	+	0,018	0,574	-	Stefano Mammola
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 7.5 m bgs U01 well	Temperature	Diversity	Mortality	Friedmans	chi2	19,7800	3	32	+	0,00019	0,965	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 10.5 m bgs U01 well	Temperature	Diversity	Mortality	Friedmans	chi2	6,4400	4	32	+	0,17	0,773	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 7.5 m bgs D09 well	Temperature	Diversity	Mortality	Friedmans	chi2	7,6400	3	32	+	0,054	0,817	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 10.5 m bgs D09 well	Temperature	Diversity	Mortality	Friedmans	chi2	30,7400	4	32	+	<0.0001	0,986	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 10.5 m bgs U15 well	Temperature	Diversity	Mortality	Friedmans	chi2	34,9600	4	32	+	<0.0001	0,989	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 10.5 m bgs U07 well	Temperature	Diversity	Mortality	Friedmans	chi2	26,9800	2	32	+	<0.0001	0,980	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C  measured at 10.5 m bgs C10 well	Temperature	Diversity	Mortality	Friedmans	chi2	34,2600	2	32	+	<0.0001	0,987	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C 	Temperature	Diversity	Mortality	Shannon	Shannon index	0,1700	NA	32	+	0,11	0,170	Sign flipped	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C 	Temperature	Abundance	Bacterial cell abundance	Shannon	Shannon index	0,1400	NA	32	+	0,18	0,140	-	Melissa Meierhofer
CC_0507	2018-2019	Aquatic	Aquifers	Bacteria	Multiple	Multiple	Multiple	Multiple	Multiple	Troglobiont/Stygobiont	yes	Extraction site upstream from injection site	Not applicable	Temperature increase + 75°C U01 well	Temperature	Abundance	Bacterial cell abundance	Shapiro	r2	0,6800	NA	32	+	NA	0,825	-	Melissa Meierhofer
